s,n,Re(f_ibc3.tm),Im(f_ibc3.tm),Abs(f_ibc3.tm),Arg(f_ibc3.tm),Re(f_ibc3.te),Im(f_ibc3.te),Abs(f_ibc3.te),Arg(f_ibc3.te)
+0.00000000E+00,+0.00000000E+00,-8.92489847E-01,+3.09760746E-01,+9.44716808E-01,+2.80752617E+00,-1.02646133E-02,-1.00793110E-01,+1.01314428E-01,-1.67228489E+00
+0.00000000E+00,+1.00000000E+00,-1.75640041E-02,+1.31360229E-01,+1.32529258E-01,+1.70371664E+00,-4.56054371E-01,-4.98065038E-01,+6.75317977E-01,-2.31219208E+00
+0.00000000E+00,+2.00000000E+00,-3.15655882E-05,+5.61823743E-03,+5.61832610E-03,+1.57641468E+00,-1.40429375E-02,-1.17667895E-01,+1.18502901E-01,-1.68957835E+00
+0.00000000E+00,+3.00000000E+00,-1.85573607E-06,-1.36225277E-03,+1.36225404E-03,-1.57215858E+00,-2.91241409E-05,-5.39660010E-03,+5.39667869E-03,-1.57619303E+00
+0.00000000E+00,+4.00000000E+00,-3.57947394E-09,-5.98287049E-05,+5.98287050E-05,-1.57085616E+00,-1.91843366E-08,-1.38507531E-04,+1.38507533E-04,-1.57093483E+00
+0.00000000E+00,+5.00000000E+00,-1.38184611E-12,-1.17551951E-06,+1.17551951E-06,-1.57079750E+00,-4.70900359E-12,-2.17002387E-06,+2.17002387E-06,-1.57079850E+00
+0.00000000E+00,+6.00000000E+00,-1.92901324E-16,-1.38888923E-08,+1.38888923E-08,-1.57079634E+00,-5.10022680E-16,-2.25836819E-08,+2.25836819E-08,-1.57079635E+00
+0.00000000E+00,+7.00000000E+00,-1.24142874E-20,-1.11419563E-10,+1.11419563E-10,-1.57079633E+00,-2.78680223E-20,-1.66937218E-10,+1.66937218E-10,-1.57079633E+00
+0.00000000E+00,+8.00000000E+00,-4.23575243E-25,-6.51085644E-13,+6.51085644E-13,-1.57079633E+00,-8.47981730E-25,-9.21046562E-13,+9.21046562E-13,-1.57079633E+00
+0.00000000E+00,+9.00000000E+00,-7.41283433E-30,-2.90489924E-15,+2.90489924E-15,-1.57079633E+00,-1.47170713E-29,-3.93756769E-15,+3.93756769E-15,-1.57079633E+00
