s,n,Re(f_ex.tm),Im(f_ex.tm),Abs(f_ex.tm),Arg(f_ex.tm),Re(f_ex.te),Im(f_ex.te),Abs(f_ex.te),Arg(f_ex.te)
+0.00000000E+00,+0.00000000E+00,-6.81277282E-01,+4.65981273E-01,+8.25395228E-01,+2.54169824E+00,-3.24501021E-03,+5.68724900E-02,+5.69649910E-02,+1.62779217E+00
+0.00000000E+00,+1.00000000E+00,-3.24501021E-03,+5.68724900E-02,+5.69649910E-02,+1.62779217E+00,-4.44314010E-01,-4.96889395E-01,+6.66568834E-01,-2.30039273E+00
+0.00000000E+00,+2.00000000E+00,-1.01905260E-04,-1.00942991E-02,+1.00948135E-02,-1.58089131E+00,-1.47844109E-02,-1.20688989E-01,+1.21591163E-01,-1.69268911E+00
+0.00000000E+00,+3.00000000E+00,-3.07211932E-07,-5.54266937E-04,+5.54267022E-04,-1.57135059E+00,-2.52542912E-05,-5.02530132E-03,+5.02536478E-03,-1.57582171E+00
+0.00000000E+00,+4.00000000E+00,-1.23300874E-10,-1.11040927E-05,+1.11040927E-05,-1.57080743E+00,-1.47669472E-08,-1.21519327E-04,+1.21519328E-04,-1.57091785E+00
+0.00000000E+00,+5.00000000E+00,-1.58532779E-14,-1.25909801E-07,+1.25909801E-07,-1.57079645E+00,-3.36021564E-12,-1.83308910E-06,+1.83308910E-06,-1.57079816E+00
+0.00000000E+00,+6.00000000E+00,-9.07503536E-19,-9.52629915E-10,+9.52629915E-10,-1.57079633E+00,-3.45393687E-16,-1.85847704E-08,+1.85847704E-08,-1.57079635E+00
+0.00000000E+00,+7.00000000E+00,-2.75606593E-23,-5.24995969E-12,+5.24995969E-12,-1.57079633E+00,-1.81595663E-20,-1.34757478E-10,+1.34757478E-10,-1.57079633E+00
+0.00000000E+00,+8.00000000E+00,-4.87045327E-28,-2.22308630E-14,+2.22308630E-14,-1.57079633E+00,-5.36388275E-25,-7.32565325E-13,+7.32565325E-13,-1.57079633E+00
+0.00000000E+00,+9.00000000E+00,+2.28509227E-32,-7.49519097E-17,+7.49519097E-17,-1.57079633E+00,-8.93068102E-30,-3.09519884E-15,+3.09519884E-15,-1.57079633E+00
