              s1;              s2;   Re(z_ibc3.tm);   Im(z_ibc3.tm);  Abs(z_ibc3.tm);  Arg(z_ibc3.tm);   Re(z_ibc3.te);   Im(z_ibc3.te);  Abs(z_ibc3.te);  Arg(z_ibc3.te); 
  +2.90000000E-01; +0.00000000E+00; -7.05229996E-18; -3.52040248E-03; +3.52040248E-03; -1.57079633E+00; -1.34876839E-17; -1.02942056E-02; +1.02942056E-02; -1.57079633E+00; 
  +3.00000000E-01; +0.00000000E+00; -6.65927181E-18; -3.00249242E-03; +3.00249242E-03; -1.57079633E+00; -1.36379464E-17; -1.02765379E-02; +1.02765379E-02; -1.57079633E+00; 
  +3.10000000E-01; +0.00000000E+00; -6.24171374E-18; -2.46324518E-03; +2.46324518E-03; -1.57079633E+00; -1.37971079E-17; -1.02584096E-02; +1.02584096E-02; -1.57079633E+00; 
  +3.20000000E-01; +0.00000000E+00; -5.79807596E-18; -1.90217717E-03; +1.90217717E-03; -1.57079633E+00; -1.39656868E-17; -1.02398378E-02; +1.02398378E-02; -1.57079633E+00; 
  +3.30000000E-01; +0.00000000E+00; -5.32666619E-18; -1.31876759E-03; +1.31876759E-03; -1.57079633E+00; -1.41442474E-17; -1.02208408E-02; +1.02208408E-02; -1.57079633E+00; 
  +3.40000000E-01; +0.00000000E+00; -4.82563470E-18; -7.12455283E-04; +7.12455283E-04; -1.57079633E+00; -1.43334052E-17; -1.02014385E-02; +1.02014385E-02; -1.57079633E+00; 
  +3.50000000E-01; +0.00000000E+00; -4.29295727E-18; -8.26351527E-05; +8.26351527E-05; -1.57079633E+00; -1.45338316E-17; -1.01816521E-02; +1.01816521E-02; -1.57079633E+00; 
  +3.60000000E-01; +0.00000000E+00; -3.72641613E-18; +5.71345736E-04; +5.71345736E-04; +1.57079633E+00; -1.47462606E-17; -1.01615043E-02; +1.01615043E-02; -1.57079633E+00; 
  +3.70000000E-01; +0.00000000E+00; -3.12357813E-18; +1.25019255E-03; +1.25019255E-03; +1.57079633E+00; -1.49714949E-17; -1.01410197E-02; +1.01410197E-02; -1.57079633E+00; 
  +3.80000000E-01; +0.00000000E+00; -2.48177017E-18; +1.95466755E-03; +1.95466755E-03; +1.57079633E+00; -1.52104141E-17; -1.01202245E-02; +1.01202245E-02; -1.57079633E+00; 
  +3.90000000E-01; +0.00000000E+00; -1.79805104E-18; +2.68559558E-03; +2.68559558E-03; +1.57079633E+00; -1.54639832E-17; -1.00991472E-02; +1.00991472E-02; -1.57079633E+00; 
