              s1;              s2;   Re(z_ibc3.tm);   Im(z_ibc3.tm);  Abs(z_ibc3.tm);  Arg(z_ibc3.tm);   Re(z_ibc3.te);   Im(z_ibc3.te);  Abs(z_ibc3.te);  Arg(z_ibc3.te); 
  +2.90000000E-01; +0.00000000E+00; -0.00000000E+00; -2.33428345E+00; +2.33428345E+00; -1.57079633E+00; -0.00000000E+00; -2.26092996E+00; +2.26092996E+00; -1.57079633E+00; 
  +3.00000000E-01; +0.00000000E+00; -0.00000000E+00; -2.29785624E+00; +2.29785624E+00; -1.57079633E+00; -0.00000000E+00; -2.21872463E+00; +2.21872463E+00; -1.57079633E+00; 
  +3.10000000E-01; +0.00000000E+00; -0.00000000E+00; -2.25979682E+00; +2.25979682E+00; -1.57079633E+00; -0.00000000E+00; -2.17459326E+00; +2.17459326E+00; -1.57079633E+00; 
  +3.20000000E-01; +0.00000000E+00; -0.00000000E+00; -2.22005570E+00; +2.22005570E+00; -1.57079633E+00; -0.00000000E+00; -2.12847406E+00; +2.12847406E+00; -1.57079633E+00; 
  +3.30000000E-01; +0.00000000E+00; -0.00000000E+00; -2.17857985E+00; +2.17857985E+00; -1.57079633E+00; -0.00000000E+00; -2.08030077E+00; +2.08030077E+00; -1.57079633E+00; 
  +3.40000000E-01; +0.00000000E+00; -0.00000000E+00; -2.13531233E+00; +2.13531233E+00; -1.57079633E+00; -0.00000000E+00; -2.03000228E+00; +2.03000228E+00; -1.57079633E+00; 
  +3.50000000E-01; +0.00000000E+00; -0.00000000E+00; -2.09019203E+00; +2.09019203E+00; -1.57079633E+00; -0.00000000E+00; -1.97750219E+00; +1.97750219E+00; -1.57079633E+00; 
  +3.60000000E-01; +0.00000000E+00; -0.00000000E+00; -2.04315326E+00; +2.04315326E+00; -1.57079633E+00; -0.00000000E+00; -1.92271839E+00; +1.92271839E+00; -1.57079633E+00; 
  +3.70000000E-01; +0.00000000E+00; -0.00000000E+00; -1.99412538E+00; +1.99412538E+00; -1.57079633E+00; -0.00000000E+00; -1.86556258E+00; +1.86556258E+00; -1.57079633E+00; 
  +3.80000000E-01; +0.00000000E+00; -0.00000000E+00; -1.94303237E+00; +1.94303237E+00; -1.57079633E+00; -0.00000000E+00; -1.80593963E+00; +1.80593963E+00; -1.57079633E+00; 
  +3.90000000E-01; +0.00000000E+00; -0.00000000E+00; -1.88979228E+00; +1.88979228E+00; -1.57079633E+00; -0.00000000E+00; -1.74374704E+00; +1.74374704E+00; -1.57079633E+00; 
  +4.00000000E-01; +0.00000000E+00; -0.00000000E+00; -1.83431672E+00; +1.83431672E+00; -1.57079633E+00; -0.00000000E+00; -1.67887421E+00; +1.67887421E+00; -1.57079633E+00; 
  +4.10000000E-01; +0.00000000E+00; -0.00000000E+00; -1.77651020E+00; +1.77651020E+00; -1.57079633E+00; -0.00000000E+00; -1.61120161E+00; +1.61120161E+00; -1.57079633E+00; 
  +4.20000000E-01; +0.00000000E+00; -0.00000000E+00; -1.71626948E+00; +1.71626948E+00; -1.57079633E+00; -0.00000000E+00; -1.54059997E+00; +1.54059997E+00; -1.57079633E+00; 
  +4.30000000E-01; +0.00000000E+00; -0.00000000E+00; -1.65348271E+00; +1.65348271E+00; -1.57079633E+00; -0.00000000E+00; -1.46692924E+00; +1.46692924E+00; -1.57079633E+00; 
  +4.40000000E-01; +0.00000000E+00; -0.00000000E+00; -1.58802859E+00; +1.58802859E+00; -1.57079633E+00; -0.00000000E+00; -1.39003748E+00; +1.39003748E+00; -1.57079633E+00; 
  +4.50000000E-01; +0.00000000E+00; -0.00000000E+00; -1.51977534E+00; +1.51977534E+00; -1.57079633E+00; -0.00000000E+00; -1.30975956E+00; +1.30975956E+00; -1.57079633E+00; 
  +4.60000000E-01; +0.00000000E+00; -0.00000000E+00; -1.44857953E+00; +1.44857953E+00; -1.57079633E+00; -0.00000000E+00; -1.22591579E+00; +1.22591579E+00; -1.57079633E+00; 
  +4.70000000E-01; +0.00000000E+00; -0.00000000E+00; -1.37428482E+00; +1.37428482E+00; -1.57079633E+00; -0.00000000E+00; -1.13831019E+00; +1.13831019E+00; -1.57079633E+00; 
  +4.80000000E-01; +0.00000000E+00; -0.00000000E+00; -1.29672044E+00; +1.29672044E+00; -1.57079633E+00; -0.00000000E+00; -1.04672868E+00; +1.04672868E+00; -1.57079633E+00; 
  +4.90000000E-01; +0.00000000E+00; -0.00000000E+00; -1.21569947E+00; +1.21569947E+00; -1.57079633E+00; -0.00000000E+00; -9.50936882E-01; +9.50936882E-01; -1.57079633E+00; 
  +5.00000000E-01; +0.00000000E+00; -0.00000000E+00; -1.13101692E+00; +1.13101692E+00; -1.57079633E+00; -0.00000000E+00; -8.50677710E-01; +8.50677710E-01; -1.57079633E+00; 
  +5.10000000E-01; +0.00000000E+00; -0.00000000E+00; -1.04244742E+00; +1.04244742E+00; -1.57079633E+00; -0.00000000E+00; -7.45668489E-01; +7.45668489E-01; -1.57079633E+00; 
  +5.20000000E-01; +0.00000000E+00; -0.00000000E+00; -9.49742653E-01; +9.49742653E-01; -1.57079633E+00; -0.00000000E+00; -6.35597692E-01; +6.35597692E-01; -1.57079633E+00; 
  +5.30000000E-01; +0.00000000E+00; -0.00000000E+00; -8.52628306E-01; +8.52628306E-01; -1.57079633E+00; -0.00000000E+00; -5.20121125E-01; +5.20121125E-01; -1.57079633E+00; 
  +5.40000000E-01; +0.00000000E+00; -0.00000000E+00; -7.50800536E-01; +7.50800536E-01; -1.57079633E+00; -0.00000000E+00; -3.98857494E-01; +3.98857494E-01; -1.57079633E+00; 
  +5.50000000E-01; +0.00000000E+00; -0.00000000E+00; -6.43921849E-01; +6.43921849E-01; -1.57079633E+00; -0.00000000E+00; -2.71383213E-01; +2.71383213E-01; -1.57079633E+00; 
  +5.60000000E-01; +0.00000000E+00; -0.00000000E+00; -5.31616249E-01; +5.31616249E-01; -1.57079633E+00; -0.00000000E+00; -1.37226316E-01; +1.37226316E-01; -1.57079633E+00; 
  +5.70000000E-01; +0.00000000E+00; -0.00000000E+00; -4.13463523E-01; +4.13463523E-01; -1.57079633E+00; -0.00000000E+00; +4.14073018E-03; +4.14073018E-03; +1.57079633E+00; 
  +5.80000000E-01; +0.00000000E+00; -0.00000000E+00; -2.88992457E-01; +2.88992457E-01; -1.57079633E+00; -0.00000000E+00; +1.53309548E-01; +1.53309548E-01; +1.57079633E+00; 
  +5.90000000E-01; +0.00000000E+00; -0.00000000E+00; -1.57672764E-01; +1.57672764E-01; -1.57079633E+00; -0.00000000E+00; +3.10945992E-01; +3.10945992E-01; +1.57079633E+00; 
  +6.00000000E-01; +0.00000000E+00; -0.00000000E+00; -1.89054170E-02; +1.89054170E-02; -1.57079633E+00; -0.00000000E+00; +4.77802302E-01; +4.77802302E-01; +1.57079633E+00; 
  +6.10000000E-01; +0.00000000E+00; -0.00000000E+00; +1.27989002E-01; +1.27989002E-01; +1.57079633E+00; -0.00000000E+00; +6.54731733E-01; +6.54731733E-01; +1.57079633E+00; 
  +6.20000000E-01; +0.00000000E+00; -0.00000000E+00; +2.83784405E-01; +2.83784405E-01; +1.57079633E+00; -0.00000000E+00; +8.42706286E-01; +8.42706286E-01; +1.57079633E+00; 
  +6.30000000E-01; +0.00000000E+00; -0.00000000E+00; +4.49366403E-01; +4.49366403E-01; +1.57079633E+00; -0.00000000E+00; +1.04283832E+00; +1.04283832E+00; +1.57079633E+00; 
  +6.40000000E-01; +0.00000000E+00; -0.00000000E+00; +6.25753426E-01; +6.25753426E-01; +1.57079633E+00; -0.00000000E+00; +1.25640709E+00; +1.25640709E+00; +1.57079633E+00; 
  +6.50000000E-01; +0.00000000E+00; -0.00000000E+00; +8.14122833E-01; +8.14122833E-01; +1.57079633E+00; -0.00000000E+00; +1.48489156E+00; +1.48489156E+00; +1.57079633E+00; 
  +6.60000000E-01; +0.00000000E+00; -0.00000000E+00; +1.01584347E+00; +1.01584347E+00; +1.57079633E+00; -0.00000000E+00; +1.73001128E+00; +1.73001128E+00; +1.57079633E+00; 
  +6.70000000E-01; +0.00000000E+00; -0.00000000E+00; +1.23251656E+00; +1.23251656E+00; +1.57079633E+00; -0.00000000E+00; +1.99377783E+00; +1.99377783E+00; +1.57079633E+00; 
  +6.80000000E-01; +0.00000000E+00; -0.00000000E+00; +1.46602767E+00; +1.46602767E+00; +1.57079633E+00; -0.00000000E+00; +2.27856001E+00; +2.27856001E+00; +1.57079633E+00; 
  +6.90000000E-01; +0.00000000E+00; -0.00000000E+00; +1.71861309E+00; +1.71861309E+00; +1.57079633E+00; -0.00000000E+00; +2.58716734E+00; +2.58716734E+00; +1.57079633E+00; 
  +7.00000000E-01; +0.00000000E+00; -0.00000000E+00; +1.99294604E+00; +1.99294604E+00; +1.57079633E+00; -0.00000000E+00; +2.92295831E+00; +2.92295831E+00; +1.57079633E+00; 
  +7.10000000E-01; +0.00000000E+00; -0.00000000E+00; +2.29224940E+00; +2.29224940E+00; +1.57079633E+00; -0.00000000E+00; +3.28998202E+00; +3.28998202E+00; +1.57079633E+00; 
  +7.20000000E-01; +0.00000000E+00; -0.00000000E+00; +2.62044546E+00; +2.62044546E+00; +1.57079633E+00; -0.00000000E+00; +3.69316631E+00; +3.69316631E+00; +1.57079633E+00; 
  +7.30000000E-01; +0.00000000E+00; -0.00000000E+00; +2.98235738E+00; +2.98235738E+00; +1.57079633E+00; -0.00000000E+00; +4.13857092E+00; +4.13857092E+00; +1.57079633E+00; 
  +7.40000000E-01; +0.00000000E+00; -0.00000000E+00; +3.38398472E+00; +3.38398472E+00; +1.57079633E+00; -0.00000000E+00; +4.63373357E+00; +4.63373357E+00; +1.57079633E+00; 
  +7.50000000E-01; +0.00000000E+00; -0.00000000E+00; +3.83288666E+00; +3.83288666E+00; +1.57079633E+00; -0.00000000E+00; +5.18815147E+00; +5.18815147E+00; +1.57079633E+00; 
  +7.60000000E-01; +0.00000000E+00; -0.00000000E+00; +4.33872562E+00; +4.33872562E+00; +1.57079633E+00; -0.00000000E+00; +5.81396430E+00; +5.81396430E+00; +1.57079633E+00; 
  +7.70000000E-01; +0.00000000E+00; -0.00000000E+00; +4.91405538E+00; +4.91405538E+00; +1.57079633E+00; -0.00000000E+00; +6.52694429E+00; +6.52694429E+00; +1.57079633E+00; 
  +7.80000000E-01; +0.00000000E+00; -0.00000000E+00; +5.57549243E+00; +5.57549243E+00; +1.57079633E+00; -0.00000000E+00; +7.34796787E+00; +7.34796787E+00; +1.57079633E+00; 
  +7.90000000E-01; +0.00000000E+00; -0.00000000E+00; +6.34550712E+00; +6.34550712E+00; +1.57079633E+00; -0.00000000E+00; +8.30526597E+00; +8.30526597E+00; +1.57079633E+00; 
  +8.00000000E-01; +0.00000000E+00; -0.00000000E+00; +7.25525441E+00; +7.25525441E+00; +1.57079633E+00; -0.00000000E+00; +9.43798027E+00; +9.43798027E+00; +1.57079633E+00; 
  +8.10000000E-01; +0.00000000E+00; -0.00000000E+00; +8.34922311E+00; +8.34922311E+00; +1.57079633E+00; -0.00000000E+00; +1.08020043E+01; +1.08020043E+01; +1.57079633E+00; 
  +8.20000000E-01; +0.00000000E+00; -0.00000000E+00; +9.69323075E+00; +9.69323075E+00; +1.57079633E+00; -0.00000000E+00; +1.24800274E+01; +1.24800274E+01; +1.57079633E+00; 
  +8.30000000E-01; +0.00000000E+00; -0.00000000E+00; +1.13889547E+01; +1.13889547E+01; +1.57079633E+00; -0.00000000E+00; +1.45997908E+01; +1.45997908E+01; +1.57079633E+00; 
  +8.40000000E-01; +0.00000000E+00; -0.00000000E+00; +1.36022186E+01; +1.36022186E+01; +1.57079633E+00; -0.00000000E+00; +1.73696240E+01; +1.73696240E+01; +1.57079633E+00; 
  +8.50000000E-01; +0.00000000E+00; -0.00000000E+00; +1.66230691E+01; +1.66230691E+01; +1.57079633E+00; -0.00000000E+00; +2.11539215E+01; +2.11539215E+01; +1.57079633E+00; 
  +8.60000000E-01; +0.00000000E+00; -0.00000000E+00; +2.10089367E+01; +2.10089367E+01; +1.57079633E+00; -0.00000000E+00; +2.66529980E+01; +2.66529980E+01; +1.57079633E+00; 
  +8.70000000E-01; +0.00000000E+00; -0.00000000E+00; +2.79850804E+01; +2.79850804E+01; +1.57079633E+00; -0.00000000E+00; +3.54061771E+01; +3.54061771E+01; +1.57079633E+00; 
  +8.80000000E-01; +0.00000000E+00; -0.00000000E+00; +4.08724469E+01; +4.08724469E+01; +1.57079633E+00; -0.00000000E+00; +5.15856432E+01; +5.15856432E+01; +1.57079633E+00; 
  +8.90000000E-01; +0.00000000E+00; -0.00000000E+00; +7.29157862E+01; +7.29157862E+01; +1.57079633E+00; -0.00000000E+00; +9.18310844E+01; +9.18310844E+01; +1.57079633E+00; 
  +9.00000000E-01; +0.00000000E+00; -0.00000000E+00; +2.93841168E+02; +2.93841168E+02; +1.57079633E+00; -0.00000000E+00; +3.69373282E+02; +3.69373282E+02; +1.57079633E+00; 
  +9.10000000E-01; +0.00000000E+00; -0.00000000E+00; -1.53033794E+02; +1.53033794E+02; -1.57079633E+00; -0.00000000E+00; -1.92057611E+02; +1.92057611E+02; -1.57079633E+00; 
  +9.20000000E-01; +0.00000000E+00; -0.00000000E+00; -6.18814176E+01; +6.18814176E+01; -1.57079633E+00; -0.00000000E+00; -7.75524498E+01; +7.75524498E+01; -1.57079633E+00; 
  +9.30000000E-01; +0.00000000E+00; -0.00000000E+00; -3.91698892E+01; +3.91698892E+01; -1.57079633E+00; -0.00000000E+00; -4.90312054E+01; +4.90312054E+01; -1.57079633E+00; 
  +9.40000000E-01; +0.00000000E+00; -0.00000000E+00; -2.88206416E+01; +2.88206416E+01; -1.57079633E+00; -0.00000000E+00; -3.60410761E+01; +3.60410761E+01; -1.57079633E+00; 
  +9.50000000E-01; +0.00000000E+00; -0.00000000E+00; -2.28763403E+01; +2.28763403E+01; -1.57079633E+00; -0.00000000E+00; -2.85850737E+01; +2.85850737E+01; -1.57079633E+00; 
  +9.60000000E-01; +0.00000000E+00; -0.00000000E+00; -1.90017456E+01; +1.90017456E+01; -1.57079633E+00; -0.00000000E+00; -2.37293770E+01; +2.37293770E+01; -1.57079633E+00; 
  +9.70000000E-01; +0.00000000E+00; -0.00000000E+00; -1.62638293E+01; +1.62638293E+01; -1.57079633E+00; -0.00000000E+00; -2.03017954E+01; +2.03017954E+01; -1.57079633E+00; 
  +9.80000000E-01; +0.00000000E+00; -0.00000000E+00; -1.42166635E+01; +1.42166635E+01; -1.57079633E+00; -0.00000000E+00; -1.77420924E+01; +1.77420924E+01; -1.57079633E+00; 
  +9.90000000E-01; +0.00000000E+00; -0.00000000E+00; -1.26202300E+01; +1.26202300E+01; -1.57079633E+00; -0.00000000E+00; -1.57487206E+01; +1.57487206E+01; -1.57079633E+00; 
  +1.00000000E+00; +0.00000000E+00; -0.00000000E+00; -1.13338562E+01; +1.13338562E+01; -1.57079633E+00; -0.00000000E+00; -1.41449418E+01; +1.41449418E+01; -1.57079633E+00; 
  +1.01000000E+00; +0.00000000E+00; -0.00000000E+00; -1.02696232E+01; +1.02696232E+01; -1.57079633E+00; -0.00000000E+00; -1.28202928E+01; +1.28202928E+01; -1.57079633E+00; 
  +1.02000000E+00; +0.00000000E+00; -0.00000000E+00; -9.36974519E+00; +9.36974519E+00; -1.57079633E+00; -0.00000000E+00; -1.17021666E+01; +1.17021666E+01; -1.57079633E+00; 
  +1.03000000E+00; +0.00000000E+00; -0.00000000E+00; -8.59466927E+00; +8.59466927E+00; -1.57079633E+00; -0.00000000E+00; -1.07408618E+01; +1.07408618E+01; -1.57079633E+00; 
  +1.04000000E+00; +0.00000000E+00; -0.00000000E+00; -7.91640078E+00; +7.91640078E+00; -1.57079633E+00; -0.00000000E+00; -9.90119681E+00; +9.90119681E+00; -1.57079633E+00; 
  +1.05000000E+00; +0.00000000E+00; -0.00000000E+00; -7.31456063E+00; +7.31456063E+00; -1.57079633E+00; -0.00000000E+00; -9.15755677E+00; +9.15755677E+00; -1.57079633E+00; 
  +1.06000000E+00; +0.00000000E+00; -0.00000000E+00; -6.77395277E+00; +6.77395277E+00; -1.57079633E+00; -0.00000000E+00; -8.49083732E+00; +8.49083732E+00; -1.57079633E+00; 
  +1.07000000E+00; +0.00000000E+00; -0.00000000E+00; -6.28300773E+00; +6.28300773E+00; -1.57079633E+00; -0.00000000E+00; -7.88648905E+00; +7.88648905E+00; -1.57079633E+00; 
  +1.08000000E+00; +0.00000000E+00; -0.00000000E+00; -5.83275472E+00; +5.83275472E+00; -1.57079633E+00; -0.00000000E+00; -7.33322608E+00; +7.33322608E+00; -1.57079633E+00; 
  +1.09000000E+00; +0.00000000E+00; -0.00000000E+00; -5.41612424E+00; +5.41612424E+00; -1.57079633E+00; -0.00000000E+00; -6.82214975E+00; +6.82214975E+00; -1.57079633E+00; 
  +1.10000000E+00; +0.00000000E+00; -0.00000000E+00; -5.02746339E+00; +5.02746339E+00; -1.57079633E+00; -0.00000000E+00; -6.34613962E+00; +6.34613962E+00; -1.57079633E+00; 
  +1.11000000E+00; +0.00000000E+00; -0.00000000E+00; -4.66219190E+00; +4.66219190E+00; -1.57079633E+00; -0.00000000E+00; -5.89942113E+00; +5.89942113E+00; -1.57079633E+00; 
  +1.12000000E+00; +0.00000000E+00; -0.00000000E+00; -4.31655330E+00; +4.31655330E+00; -1.57079633E+00; -0.00000000E+00; -5.47725291E+00; +5.47725291E+00; -1.57079633E+00; 
  +1.13000000E+00; +0.00000000E+00; -0.00000000E+00; -3.98743192E+00; +3.98743192E+00; -1.57079633E+00; -0.00000000E+00; -5.07569671E+00; +5.07569671E+00; -1.57079633E+00; 
  +1.14000000E+00; +0.00000000E+00; -0.00000000E+00; -3.67221625E+00; +3.67221625E+00; -1.57079633E+00; -0.00000000E+00; -4.69144547E+00; +4.69144547E+00; -1.57079633E+00; 
  +1.15000000E+00; +0.00000000E+00; -0.00000000E+00; -3.36869540E+00; +3.36869540E+00; -1.57079633E+00; -0.00000000E+00; -4.32169311E+00; +4.32169311E+00; -1.57079633E+00; 
  +1.16000000E+00; +0.00000000E+00; -0.00000000E+00; -3.07497967E+00; +3.07497967E+00; -1.57079633E+00; -0.00000000E+00; -3.96403455E+00; +3.96403455E+00; -1.57079633E+00; 
  +1.17000000E+00; +0.00000000E+00; -0.00000000E+00; -2.78943899E+00; +2.78943899E+00; -1.57079633E+00; -0.00000000E+00; -3.61638806E+00; +3.61638806E+00; -1.57079633E+00; 
  +1.18000000E+00; +0.00000000E+00; -0.00000000E+00; -2.51065451E+00; +2.51065451E+00; -1.57079633E+00; -0.00000000E+00; -3.27693421E+00; +3.27693421E+00; -1.57079633E+00; 
  +1.19000000E+00; +0.00000000E+00; -0.00000000E+00; -2.23738029E+00; +2.23738029E+00; -1.57079633E+00; -0.00000000E+00; -2.94406745E+00; +2.94406745E+00; -1.57079633E+00; 
  +1.20000000E+00; +0.00000000E+00; -0.00000000E+00; -1.96851258E+00; +1.96851258E+00; -1.57079633E+00; -0.00000000E+00; -2.61635720E+00; +2.61635720E+00; -1.57079633E+00; 
  +1.21000000E+00; +0.00000000E+00; -0.00000000E+00; -1.70306506E+00; +1.70306506E+00; -1.57079633E+00; -0.00000000E+00; -2.29251633E+00; +2.29251633E+00; -1.57079633E+00; 
  +1.22000000E+00; +0.00000000E+00; -0.00000000E+00; -1.44014857E+00; +1.44014857E+00; -1.57079633E+00; -0.00000000E+00; -1.97137538E+00; +1.97137538E+00; -1.57079633E+00; 
  +1.23000000E+00; +0.00000000E+00; -0.00000000E+00; -1.17895452E+00; +1.17895452E+00; -1.57079633E+00; -0.00000000E+00; -1.65186119E+00; +1.65186119E+00; -1.57079633E+00; 
  +1.24000000E+00; +0.00000000E+00; -0.00000000E+00; -9.18741039E-01; +9.18741039E-01; -1.57079633E+00; -0.00000000E+00; -1.33297908E+00; +1.33297908E+00; -1.57079633E+00; 
  +1.25000000E+00; +0.00000000E+00; -0.00000000E+00; -6.58821458E-01; +6.58821458E-01; -1.57079633E+00; -0.00000000E+00; -1.01379777E+00; +1.01379777E+00; -1.57079633E+00; 
  +1.26000000E+00; +0.00000000E+00; -0.00000000E+00; -3.98554504E-01; +3.98554504E-01; -1.57079633E+00; -0.00000000E+00; -6.93436459E-01; +6.93436459E-01; -1.57079633E+00; 
  +1.27000000E+00; +0.00000000E+00; -0.00000000E+00; -1.37335975E-01; +1.37335975E-01; -1.57079633E+00; -0.00000000E+00; -3.71053729E-01; +3.71053729E-01; -1.57079633E+00; 
  +1.28000000E+00; +0.00000000E+00; -0.00000000E+00; +1.25408444E-01; +1.25408444E-01; +1.57079633E+00; -0.00000000E+00; -4.58377038E-02; +4.58377038E-02; -1.57079633E+00; 
  +1.29000000E+00; +0.00000000E+00; -0.00000000E+00; +3.90229439E-01; +3.90229439E-01; +1.57079633E+00; -0.00000000E+00; +2.83002653E-01; +2.83002653E-01; +1.57079633E+00; 
  +1.30000000E+00; +0.00000000E+00; -0.00000000E+00; +6.57659587E-01; +6.57659587E-01; +1.57079633E+00; -0.00000000E+00; +6.16245427E-01; +6.16245427E-01; +1.57079633E+00; 
  +1.31000000E+00; +0.00000000E+00; -0.00000000E+00; +9.28218271E-01; +9.28218271E-01; +1.57079633E+00; -0.00000000E+00; +9.54663019E-01; +9.54663019E-01; +1.57079633E+00; 
  +1.32000000E+00; +0.00000000E+00; -0.00000000E+00; +1.20241613E+00; +1.20241613E+00; +1.57079633E+00; -0.00000000E+00; +1.29902894E+00; +1.29902894E+00; +1.57079633E+00; 
