s1,s2,Re(r_ibc1_2.tm),Im(r_ibc1_2.tm),Abs(r_ibc1_2.tm),Arg(r_ibc1_2.tm),Re(r_ibc1_2.te),Im(r_ibc1_2.te),Abs(r_ibc1_2.te),Arg(r_ibc1_2.te)
+0.00000000E+00,+0.00000000E+00,+9.49100016E-01,+3.96672970E-01,+1.02865946E+00,+3.95881079E-01,+9.12344011E-01,+4.11674063E-01,+1.00092314E+00,+4.23873660E-01
+1.00000000E-02,+0.00000000E+00,+9.49098704E-01,+3.96689530E-01,+1.02866464E+00,+3.95896425E-01,+9.12353871E-01,+4.11654606E-01,+1.00092412E+00,+4.23851890E-01
+2.00000000E-02,+0.00000000E+00,+9.49094767E-01,+3.96739224E-01,+1.02868017E+00,+3.95942472E-01,+9.12383452E-01,+4.11596226E-01,+1.00092708E+00,+4.23786571E-01
+3.00000000E-02,+0.00000000E+00,+9.49088212E-01,+3.96822090E-01,+1.02870608E+00,+3.96019252E-01,+9.12432758E-01,+4.11498901E-01,+1.00093201E+00,+4.23677681E-01
+4.00000000E-02,+0.00000000E+00,+9.49079045E-01,+3.96938194E-01,+1.02874242E+00,+3.96126814E-01,+9.12501795E-01,+4.11362590E-01,+1.00093891E+00,+4.23525183E-01
+5.00000000E-02,+0.00000000E+00,+9.49067280E-01,+3.97087627E-01,+1.02878923E+00,+3.96265230E-01,+9.12590571E-01,+4.11187236E-01,+1.00094780E+00,+4.23329024E-01
+6.00000000E-02,+0.00000000E+00,+9.49052930E-01,+3.97270507E-01,+1.02884660E+00,+3.96434592E-01,+9.12699096E-01,+4.10972769E-01,+1.00095867E+00,+4.23089137E-01
+7.00000000E-02,+0.00000000E+00,+9.49036013E-01,+3.97486979E-01,+1.02891460E+00,+3.96635011E-01,+9.12827383E-01,+4.10719100E-01,+1.00097153E+00,+4.22805439E-01
+8.00000000E-02,+0.00000000E+00,+9.49016553E-01,+3.97737214E-01,+1.02899335E+00,+3.96866622E-01,+9.12975448E-01,+4.10426125E-01,+1.00098640E+00,+4.22477831E-01
+9.00000000E-02,+0.00000000E+00,+9.48994575E-01,+3.98021411E-01,+1.02908296E+00,+3.97129579E-01,+9.13143308E-01,+4.10093721E-01,+1.00100328E+00,+4.22106201E-01
+1.00000000E-01,+0.00000000E+00,+9.48970109E-01,+3.98339799E-01,+1.02918359E+00,+3.97424057E-01,+9.13330984E-01,+4.09721752E-01,+1.00102218E+00,+4.21690417E-01
+1.10000000E-01,+0.00000000E+00,+9.48943189E-01,+3.98692631E-01,+1.02929539E+00,+3.97750253E-01,+9.13538498E-01,+4.09310063E-01,+1.00104311E+00,+4.21230337E-01
+1.20000000E-01,+0.00000000E+00,+9.48913855E-01,+3.99080194E-01,+1.02941853E+00,+3.98108387E-01,+9.13765874E-01,+4.08858481E-01,+1.00106610E+00,+4.20725797E-01
+1.30000000E-01,+0.00000000E+00,+9.48882149E-01,+3.99502802E-01,+1.02955321E+00,+3.98498702E-01,+9.14013141E-01,+4.08366818E-01,+1.00109115E+00,+4.20176620E-01
+1.40000000E-01,+0.00000000E+00,+9.48848123E-01,+3.99960799E-01,+1.02969967E+00,+3.98921460E-01,+9.14280330E-01,+4.07834866E-01,+1.00111827E+00,+4.19582611E-01
+1.50000000E-01,+0.00000000E+00,+9.48811829E-01,+4.00454562E-01,+1.02985812E+00,+3.99376950E-01,+9.14567471E-01,+4.07262401E-01,+1.00114750E+00,+4.18943560E-01
+1.60000000E-01,+0.00000000E+00,+9.48773329E-01,+4.00984499E-01,+1.03002883E+00,+3.99865484E-01,+9.14874601E-01,+4.06649179E-01,+1.00117885E+00,+4.18259237E-01
+1.70000000E-01,+0.00000000E+00,+9.48732691E-01,+4.01551053E-01,+1.03021210E+00,+4.00387396E-01,+9.15201758E-01,+4.05994937E-01,+1.00121234E+00,+4.17529396E-01
+1.80000000E-01,+0.00000000E+00,+9.48689988E-01,+4.02154699E-01,+1.03040822E+00,+4.00943048E-01,+9.15548983E-01,+4.05299395E-01,+1.00124799E+00,+4.16753772E-01
+1.90000000E-01,+0.00000000E+00,+9.48645304E-01,+4.02795950E-01,+1.03061753E+00,+4.01532826E-01,+9.15916319E-01,+4.04562250E-01,+1.00128583E+00,+4.15932083E-01
+2.00000000E-01,+0.00000000E+00,+9.48598728E-01,+4.03475353E-01,+1.03084039E+00,+4.02157140E-01,+9.16303812E-01,+4.03783183E-01,+1.00132589E+00,+4.15064025E-01
+2.10000000E-01,+0.00000000E+00,+9.48550362E-01,+4.04193497E-01,+1.03107719E+00,+4.02816432E-01,+9.16711512E-01,+4.02961849E-01,+1.00136819E+00,+4.14149278E-01
+2.20000000E-01,+0.00000000E+00,+9.48500314E-01,+4.04951007E-01,+1.03132835E+00,+4.03511165E-01,+9.17139471E-01,+4.02097887E-01,+1.00141276E+00,+4.13187499E-01
+2.30000000E-01,+0.00000000E+00,+9.48448706E-01,+4.05748552E-01,+1.03159432E+00,+4.04241837E-01,+9.17587744E-01,+4.01190911E-01,+1.00145964E+00,+4.12178326E-01
+2.40000000E-01,+0.00000000E+00,+9.48395670E-01,+4.06586844E-01,+1.03187558E+00,+4.05008971E-01,+9.18056390E-01,+4.00240512E-01,+1.00150886E+00,+4.11121375E-01
+2.50000000E-01,+0.00000000E+00,+9.48341353E-01,+4.07466640E-01,+1.03217265E+00,+4.05813121E-01,+9.18545471E-01,+3.99246260E-01,+1.00156046E+00,+4.10016240E-01
+2.60000000E-01,+0.00000000E+00,+9.48285914E-01,+4.08388744E-01,+1.03248610E+00,+4.06654874E-01,+9.19055052E-01,+3.98207699E-01,+1.00161448E+00,+4.08862492E-01
+2.70000000E-01,+0.00000000E+00,+9.48229531E-01,+4.09354012E-01,+1.03281651E+00,+4.07534847E-01,+9.19585200E-01,+3.97124348E-01,+1.00167095E+00,+4.07659678E-01
+2.80000000E-01,+0.00000000E+00,+9.48172396E-01,+4.10363348E-01,+1.03316454E+00,+4.08453692E-01,+9.20135989E-01,+3.95995701E-01,+1.00172992E+00,+4.06407322E-01
+2.90000000E-01,+0.00000000E+00,+9.48114722E-01,+4.11417715E-01,+1.03353087E+00,+4.09412094E-01,+9.20707494E-01,+3.94821225E-01,+1.00179144E+00,+4.05104921E-01
+3.00000000E-01,+0.00000000E+00,+9.48056743E-01,+4.12518133E-01,+1.03391624E+00,+4.10410776E-01,+9.21299794E-01,+3.93600358E-01,+1.00185556E+00,+4.03751945E-01
+3.10000000E-01,+0.00000000E+00,+9.47998715E-01,+4.13665682E-01,+1.03432145E+00,+4.11450497E-01,+9.21912974E-01,+3.92332511E-01,+1.00192232E+00,+4.02347840E-01
+3.20000000E-01,+0.00000000E+00,+9.47940921E-01,+4.14861507E-01,+1.03474734E+00,+4.12532054E-01,+9.22547120E-01,+3.91017063E-01,+1.00199178E+00,+4.00892018E-01
+3.30000000E-01,+0.00000000E+00,+9.47883670E-01,+4.16106821E-01,+1.03519483E+00,+4.13656283E-01,+9.23202325E-01,+3.89653363E-01,+1.00206401E+00,+3.99383867E-01
+3.40000000E-01,+0.00000000E+00,+9.47827306E-01,+4.17402911E-01,+1.03566490E+00,+4.14824065E-01,+9.23878684E-01,+3.88240725E-01,+1.00213905E+00,+3.97822738E-01
+3.50000000E-01,+0.00000000E+00,+9.47772203E-01,+4.18751139E-01,+1.03615861E+00,+4.16036321E-01,+9.24576300E-01,+3.86778431E-01,+1.00221699E+00,+3.96207954E-01
+3.60000000E-01,+0.00000000E+00,+9.47718776E-01,+4.20152949E-01,+1.03667709E+00,+4.17294017E-01,+9.25295277E-01,+3.85265725E-01,+1.00229787E+00,+3.94538801E-01
+3.70000000E-01,+0.00000000E+00,+9.47667482E-01,+4.21609872E-01,+1.03722155E+00,+4.18598167E-01,+9.26035726E-01,+3.83701815E-01,+1.00238179E+00,+3.92814530E-01
+3.80000000E-01,+0.00000000E+00,+9.47618824E-01,+4.23123531E-01,+1.03779331E+00,+4.19949832E-01,+9.26797765E-01,+3.82085869E-01,+1.00246881E+00,+3.91034355E-01
+3.90000000E-01,+0.00000000E+00,+9.47573358E-01,+4.24695649E-01,+1.03839379E+00,+4.21350123E-01,+9.27581514E-01,+3.80417013E-01,+1.00255901E+00,+3.89197449E-01
+4.00000000E-01,+0.00000000E+00,+9.47531698E-01,+4.26328054E-01,+1.03902451E+00,+4.22800204E-01,+9.28387102E-01,+3.78694329E-01,+1.00265249E+00,+3.87302945E-01
+4.10000000E-01,+0.00000000E+00,+9.47494523E-01,+4.28022685E-01,+1.03968711E+00,+4.24301292E-01,+9.29214662E-01,+3.76916854E-01,+1.00274932E+00,+3.85349931E-01
+4.20000000E-01,+0.00000000E+00,+9.47462584E-01,+4.29781603E-01,+1.04038338E+00,+4.25854660E-01,+9.30064335E-01,+3.75083576E-01,+1.00284962E+00,+3.83337449E-01
+4.30000000E-01,+0.00000000E+00,+9.47436713E-01,+4.31607001E-01,+1.04111523E+00,+4.27461641E-01,+9.30936269E-01,+3.73193433E-01,+1.00295348E+00,+3.81264491E-01
+4.40000000E-01,+0.00000000E+00,+9.47417832E-01,+4.33501210E-01,+1.04188476E+00,+4.29123627E-01,+9.31830617E-01,+3.71245307E-01,+1.00306100E+00,+3.79130000E-01
+4.50000000E-01,+0.00000000E+00,+9.47406965E-01,+4.35466710E-01,+1.04269421E+00,+4.30842071E-01,+9.32747543E-01,+3.69238023E-01,+1.00317232E+00,+3.76932863E-01
+4.60000000E-01,+0.00000000E+00,+9.47405249E-01,+4.37506145E-01,+1.04354604E+00,+4.32618493E-01,+9.33687218E-01,+3.67170347E-01,+1.00328754E+00,+3.74671906E-01
+4.70000000E-01,+0.00000000E+00,+9.47413950E-01,+4.39622335E-01,+1.04444291E+00,+4.34454478E-01,+9.34649820E-01,+3.65040979E-01,+1.00340680E+00,+3.72345899E-01
+4.80000000E-01,+0.00000000E+00,+9.47434476E-01,+4.41818289E-01,+1.04538772E+00,+4.36351679E-01,+9.35635539E-01,+3.62848551E-01,+1.00353023E+00,+3.69953541E-01
+4.90000000E-01,+0.00000000E+00,+9.47468398E-01,+4.44097222E-01,+1.04638363E+00,+4.38311820E-01,+9.36644574E-01,+3.60591621E-01,+1.00365800E+00,+3.67493463E-01
+5.00000000E-01,+0.00000000E+00,+9.47517473E-01,+4.46462572E-01,+1.04743410E+00,+4.40336698E-01,+9.37677134E-01,+3.58268672E-01,+1.00379024E+00,+3.64964223E-01
+5.10000000E-01,+0.00000000E+00,+9.47583662E-01,+4.48918021E-01,+1.04854289E+00,+4.42428180E-01,+9.38733440E-01,+3.55878100E-01,+1.00392714E+00,+3.62364298E-01
+5.20000000E-01,+0.00000000E+00,+9.47669166E-01,+4.51467519E-01,+1.04971414E+00,+4.44588210E-01,+9.39813727E-01,+3.53418216E-01,+1.00406886E+00,+3.59692078E-01
+5.30000000E-01,+0.00000000E+00,+9.47776451E-01,+4.54115305E-01,+1.05095238E+00,+4.46818804E-01,+9.40918240E-01,+3.50887233E-01,+1.00421561E+00,+3.56945865E-01
+5.40000000E-01,+0.00000000E+00,+9.47908290E-01,+4.56865935E-01,+1.05226261E+00,+4.49122055E-01,+9.42047242E-01,+3.48283262E-01,+1.00436758E+00,+3.54123860E-01
+5.50000000E-01,+0.00000000E+00,+9.48067808E-01,+4.59724317E-01,+1.05365033E+00,+4.51500127E-01,+9.43201008E-01,+3.45604307E-01,+1.00452500E+00,+3.51224159E-01
+5.60000000E-01,+0.00000000E+00,+9.48258527E-01,+4.62695743E-01,+1.05512160E+00,+4.53955255E-01,+9.44379833E-01,+3.42848251E-01,+1.00468811E+00,+3.48244745E-01
+5.70000000E-01,+0.00000000E+00,+9.48484431E-01,+4.65785930E-01,+1.05668314E+00,+4.56489743E-01,+9.45584028E-01,+3.40012849E-01,+1.00485715E+00,+3.45183478E-01
+5.80000000E-01,+0.00000000E+00,+9.48750033E-01,+4.69001067E-01,+1.05834240E+00,+4.59105957E-01,+9.46813925E-01,+3.37095720E-01,+1.00503240E+00,+3.42038085E-01
+5.90000000E-01,+0.00000000E+00,+9.49060457E-01,+4.72347863E-01,+1.06010766E+00,+4.61806316E-01,+9.48069877E-01,+3.34094332E-01,+1.00521416E+00,+3.38806148E-01
+6.00000000E-01,+0.00000000E+00,+9.49421539E-01,+4.75833608E-01,+1.06198817E+00,+4.64593286E-01,+9.49352262E-01,+3.31005992E-01,+1.00540275E+00,+3.35485095E-01
+6.10000000E-01,+0.00000000E+00,+9.49839935E-01,+4.79466241E-01,+1.06399426E+00,+4.67469360E-01,+9.50661484E-01,+3.27827829E-01,+1.00559850E+00,+3.32072181E-01
+6.20000000E-01,+0.00000000E+00,+9.50323263E-01,+4.83254429E-01,+1.06613749E+00,+4.70437047E-01,+9.51997974E-01,+3.24556780E-01,+1.00580179E+00,+3.28564478E-01
+6.30000000E-01,+0.00000000E+00,+9.50880266E-01,+4.87207653E-01,+1.06843090E+00,+4.73498841E-01,+9.53362197E-01,+3.21189572E-01,+1.00601303E+00,+3.24958853E-01
+6.40000000E-01,+0.00000000E+00,+9.51521007E-01,+4.91336318E-01,+1.07088917E+00,+4.76657195E-01,+9.54754651E-01,+3.17722700E-01,+1.00623266E+00,+3.21251951E-01
+6.50000000E-01,+0.00000000E+00,+9.52257108E-01,+4.95651869E-01,+1.07352894E+00,+4.79914478E-01,+9.56175875E-01,+3.14152408E-01,+1.00646115E+00,+3.17440173E-01
+6.60000000E-01,+0.00000000E+00,+9.53102035E-01,+5.00166943E-01,+1.07636911E+00,+4.83272923E-01,+9.57626449E-01,+3.10474659E-01,+1.00669903E+00,+3.13519651E-01
+6.70000000E-01,+0.00000000E+00,+9.54071451E-01,+5.04895527E-01,+1.07943125E+00,+4.86734561E-01,+9.59107003E-01,+3.06685107E-01,+1.00694687E+00,+3.09486217E-01
+6.80000000E-01,+0.00000000E+00,+9.55183644E-01,+5.09853168E-01,+1.08274006E+00,+4.90301136E-01,+9.60618220E-01,+3.02779065E-01,+1.00720531E+00,+3.05335377E-01
+6.90000000E-01,+0.00000000E+00,+9.56460059E-01,+5.15057208E-01,+1.08632397E+00,+4.93973994E-01,+9.62160846E-01,+2.98751466E-01,+1.00747503E+00,+3.01062264E-01
