s1,s2,Re(r_ex.tm),Im(r_ex.tm),Abs(r_ex.tm),Arg(r_ex.tm),Re(r_ex.te),Im(r_ex.te),Abs(r_ex.te),Arg(r_ex.te)
+3.10000000E-01,+0.00000000E+00,+9.05734167E-01,-3.63425046E-01,+9.75926302E-01,-3.81582749E-01,+9.16344385E-01,-3.85749672E-01,+9.94228264E-01,-3.98448711E-01
+3.20000000E-01,+0.00000000E+00,+9.05583390E-01,-3.60797817E-01,+9.74810925E-01,-3.79139071E-01,+9.16898311E-01,-3.84482312E-01,+9.94248038E-01,-3.97057712E-01
+3.30000000E-01,+0.00000000E+00,+9.05427410E-01,-3.58095252E-01,+9.73668837E-01,-3.76619827E-01,+9.17470020E-01,-3.83169213E-01,+9.94268517E-01,-3.95617429E-01
+3.40000000E-01,+0.00000000E+00,+9.05266299E-01,-3.55318086E-01,+9.72500907E-01,-3.74025205E-01,+9.18059531E-01,-3.81809796E-01,+9.94289708E-01,-3.94127321E-01
+3.50000000E-01,+0.00000000E+00,+9.05100148E-01,-3.52467076E-01,+9.71308045E-01,-3.71355402E-01,+9.18666864E-01,-3.80403456E-01,+9.94311620E-01,-3.92586821E-01
+3.60000000E-01,+0.00000000E+00,+9.04929071E-01,-3.49542993E-01,+9.70091195E-01,-3.68610619E-01,+9.19292042E-01,-3.78949557E-01,+9.94334262E-01,-3.90995334E-01
+3.70000000E-01,+0.00000000E+00,+9.04753203E-01,-3.46546629E-01,+9.68851343E-01,-3.65791064E-01,+9.19935084E-01,-3.77447432E-01,+9.94357643E-01,-3.89352233E-01
+3.80000000E-01,+0.00000000E+00,+9.04572706E-01,-3.43478793E-01,+9.67589511E-01,-3.62896950E-01,+9.20596015E-01,-3.75896382E-01,+9.94381774E-01,-3.87656863E-01
+3.90000000E-01,+0.00000000E+00,+9.04387770E-01,-3.40340308E-01,+9.66306765E-01,-3.59928496E-01,+9.21274857E-01,-3.74295673E-01,+9.94406664E-01,-3.85908535E-01
+4.00000000E-01,+0.00000000E+00,+9.04198613E-01,-3.37132016E-01,+9.65004211E-01,-3.56885925E-01,+9.21971636E-01,-3.72644536E-01,+9.94432324E-01,-3.84106526E-01
+4.10000000E-01,+0.00000000E+00,+9.04005485E-01,-3.33854773E-01,+9.63683001E-01,-3.53769469E-01,+9.22686376E-01,-3.70942164E-01,+9.94458766E-01,-3.82250076E-01
+4.20000000E-01,+0.00000000E+00,+9.03808671E-01,-3.30509449E-01,+9.62344329E-01,-3.50579362E-01,+9.23419103E-01,-3.69187710E-01,+9.94486001E-01,-3.80338389E-01
+4.30000000E-01,+0.00000000E+00,+9.03608491E-01,-3.27096927E-01,+9.60989441E-01,-3.47315844E-01,+9.24169846E-01,-3.67380287E-01,+9.94514042E-01,-3.78370627E-01
+4.40000000E-01,+0.00000000E+00,+9.03405306E-01,-3.23618106E-01,+9.59619626E-01,-3.43979161E-01,+9.24938633E-01,-3.65518960E-01,+9.94542902E-01,-3.76345911E-01
+4.50000000E-01,+0.00000000E+00,+9.03199519E-01,-3.20073893E-01,+9.58236227E-01,-3.40569562E-01,+9.25725492E-01,-3.63602752E-01,+9.94572595E-01,-3.74263317E-01
+4.60000000E-01,+0.00000000E+00,+9.02991575E-01,-3.16465206E-01,+9.56840641E-01,-3.37087301E-01,+9.26530454E-01,-3.61630634E-01,+9.94603135E-01,-3.72121872E-01
+4.70000000E-01,+0.00000000E+00,+9.02781971E-01,-3.12792975E-01,+9.55434316E-01,-3.33532636E-01,+9.27353550E-01,-3.59601525E-01,+9.94634538E-01,-3.69920554E-01
+4.80000000E-01,+0.00000000E+00,+9.02571253E-01,-3.09058136E-01,+9.54018761E-01,-3.29905831E-01,+9.28194815E-01,-3.57514290E-01,+9.94666819E-01,-3.67658289E-01
+4.90000000E-01,+0.00000000E+00,+9.02360020E-01,-3.05261632E-01,+9.52595544E-01,-3.26207149E-01,+9.29054280E-01,-3.55367734E-01,+9.94699996E-01,-3.65333945E-01
+5.00000000E-01,+0.00000000E+00,+9.02148933E-01,-3.01404412E-01,+9.51166293E-01,-3.22436859E-01,+9.29931983E-01,-3.53160600E-01,+9.94734086E-01,-3.62946327E-01
+5.10000000E-01,+0.00000000E+00,+9.01938714E-01,-2.97487429E-01,+9.49732706E-01,-3.18595231E-01,+9.30827958E-01,-3.50891564E-01,+9.94769108E-01,-3.60494180E-01
+5.20000000E-01,+0.00000000E+00,+9.01730149E-01,-2.93511638E-01,+9.48296548E-01,-3.14682536E-01,+9.31742245E-01,-3.48559231E-01,+9.94805081E-01,-3.57976177E-01
+5.30000000E-01,+0.00000000E+00,+9.01524099E-01,-2.89477994E-01,+9.46859657E-01,-3.10699046E-01,+9.32674883E-01,-3.46162130E-01,+9.94842027E-01,-3.55390919E-01
+5.40000000E-01,+0.00000000E+00,+9.01321498E-01,-2.85387449E-01,+9.45423947E-01,-3.06645034E-01,+9.33625914E-01,-3.43698709E-01,+9.94879967E-01,-3.52736926E-01
+5.50000000E-01,+0.00000000E+00,+9.01123363E-01,-2.81240953E-01,+9.43991414E-01,-3.02520769E-01,+9.34595379E-01,-3.41167327E-01,+9.94918925E-01,-3.50012636E-01
+5.60000000E-01,+0.00000000E+00,+9.00930797E-01,-2.77039449E-01,+9.42564139E-01,-2.98326521E-01,+9.35583323E-01,-3.38566253E-01,+9.94958925E-01,-3.47216393E-01
+5.70000000E-01,+0.00000000E+00,+9.00744995E-01,-2.72783869E-01,+9.41144295E-01,-2.94062551E-01,+9.36589794E-01,-3.35893651E-01,+9.94999993E-01,-3.44346445E-01
+5.80000000E-01,+0.00000000E+00,+9.00567251E-01,-2.68475135E-01,+9.39734150E-01,-2.89729120E-01,+9.37614839E-01,-3.33147578E-01,+9.95042157E-01,-3.41400934E-01
+5.90000000E-01,+0.00000000E+00,+9.00398969E-01,-2.64114152E-01,+9.38336074E-01,-2.85326476E-01,+9.38658509E-01,-3.30325975E-01,+9.95085446E-01,-3.38377885E-01
+6.00000000E-01,+0.00000000E+00,+9.00241663E-01,-2.59701807E-01,+9.36952550E-01,-2.80854863E-01,+9.39720856E-01,-3.27426653E-01,+9.95129892E-01,-3.35275202E-01
+6.10000000E-01,+0.00000000E+00,+9.00096974E-01,-2.55238964E-01,+9.35586175E-01,-2.76314506E-01,+9.40801937E-01,-3.24447288E-01,+9.95175526E-01,-3.32090652E-01
+6.20000000E-01,+0.00000000E+00,+8.99966672E-01,-2.50726457E-01,+9.34239673E-01,-2.71705622E-01,+9.41901810E-01,-3.21385404E-01,+9.95222386E-01,-3.28821857E-01
+6.30000000E-01,+0.00000000E+00,+8.99852671E-01,-2.46165090E-01,+9.32915903E-01,-2.67028402E-01,+9.43020534E-01,-3.18238363E-01,+9.95270507E-01,-3.25466279E-01
+6.40000000E-01,+0.00000000E+00,+8.99757041E-01,-2.41555627E-01,+9.31617869E-01,-2.62283020E-01,+9.44158174E-01,-3.15003347E-01,+9.95319931E-01,-3.22021205E-01
+6.50000000E-01,+0.00000000E+00,+8.99682018E-01,-2.36898790E-01,+9.30348736E-01,-2.57469621E-01,+9.45314796E-01,-3.11677345E-01,+9.95370700E-01,-3.18483731E-01
