s1,s2,Re(z_ibc1_2.tm),Im(z_ibc1_2.tm),Abs(z_ibc1_2.tm),Arg(z_ibc1_2.tm),Re(z_ibc1_2.te),Im(z_ibc1_2.te),Abs(z_ibc1_2.te),Arg(z_ibc1_2.te)
+0.00000000E+00,+0.00000000E+00,+1.46954715E-02,+2.00525202E-01,+2.01062959E-01,+1.49764219E+00,+4.82715538E-04,+2.15168055E-01,+2.15168596E-01,+1.56855290E+00
+1.00000000E-02,+0.00000000E+00,+1.46973977E-02,+2.00523140E-01,+2.01061043E-01,+1.49763189E+00,+4.83252324E-04,+2.15167424E-01,+2.15167967E-01,+1.56855039E+00
+2.00000000E-02,+0.00000000E+00,+1.47031788E-02,+2.00516951E-01,+2.01055294E-01,+1.49760096E+00,+4.84863311E-04,+2.15165532E-01,+2.15166078E-01,+1.56854289E+00
+3.00000000E-02,+0.00000000E+00,+1.47128215E-02,+2.00506629E-01,+2.01045705E-01,+1.49754937E+00,+4.87550391E-04,+2.15162375E-01,+2.15162927E-01,+1.56853037E+00
+4.00000000E-02,+0.00000000E+00,+1.47263371E-02,+2.00492162E-01,+2.01032266E-01,+1.49747705E+00,+4.91316723E-04,+2.15157950E-01,+2.15158511E-01,+1.56851281E+00
+5.00000000E-02,+0.00000000E+00,+1.47437415E-02,+2.00473531E-01,+2.01014961E-01,+1.49738391E+00,+4.96166742E-04,+2.15152252E-01,+2.15152824E-01,+1.56849021E+00
+6.00000000E-02,+0.00000000E+00,+1.47650553E-02,+2.00450716E-01,+2.00993772E-01,+1.49726983E+00,+5.02106174E-04,+2.15145274E-01,+2.15145860E-01,+1.56846253E+00
+7.00000000E-02,+0.00000000E+00,+1.47903037E-02,+2.00423688E-01,+2.00968674E-01,+1.49713466E+00,+5.09142050E-04,+2.15137009E-01,+2.15137611E-01,+1.56842974E+00
+8.00000000E-02,+0.00000000E+00,+1.48195168E-02,+2.00392417E-01,+2.00939640E-01,+1.49697822E+00,+5.17282728E-04,+2.15127445E-01,+2.15128067E-01,+1.56839179E+00
+9.00000000E-02,+0.00000000E+00,+1.48527293E-02,+2.00356865E-01,+2.00906637E-01,+1.49680030E+00,+5.26537922E-04,+2.15116571E-01,+2.15117216E-01,+1.56834865E+00
+1.00000000E-01,+0.00000000E+00,+1.48899811E-02,+2.00316989E-01,+2.00869628E-01,+1.49660068E+00,+5.36918724E-04,+2.15104376E-01,+2.15105046E-01,+1.56830025E+00
+1.10000000E-01,+0.00000000E+00,+1.49313170E-02,+2.00272741E-01,+2.00828571E-01,+1.49637909E+00,+5.48437642E-04,+2.15090843E-01,+2.15091542E-01,+1.56824654E+00
+1.20000000E-01,+0.00000000E+00,+1.49767873E-02,+2.00224067E-01,+2.00783419E-01,+1.49613523E+00,+5.61108638E-04,+2.15075957E-01,+2.15076689E-01,+1.56818745E+00
+1.30000000E-01,+0.00000000E+00,+1.50264472E-02,+2.00170909E-01,+2.00734120E-01,+1.49586877E+00,+5.74947171E-04,+2.15059699E-01,+2.15060468E-01,+1.56812290E+00
+1.40000000E-01,+0.00000000E+00,+1.50803579E-02,+2.00113200E-01,+2.00680617E-01,+1.49557936E+00,+5.89970243E-04,+2.15042050E-01,+2.15042859E-01,+1.56805282E+00
+1.50000000E-01,+0.00000000E+00,+1.51385861E-02,+2.00050870E-01,+2.00622849E-01,+1.49526660E+00,+6.06196453E-04,+2.15022987E-01,+2.15023842E-01,+1.56797712E+00
+1.60000000E-01,+0.00000000E+00,+1.52012045E-02,+1.99983840E-01,+2.00560747E-01,+1.49493005E+00,+6.23646059E-04,+2.15002487E-01,+2.15003392E-01,+1.56789569E+00
+1.70000000E-01,+0.00000000E+00,+1.52682919E-02,+1.99912027E-01,+2.00494238E-01,+1.49456926E+00,+6.42341036E-04,+2.14980524E-01,+2.14981484E-01,+1.56780843E+00
+1.80000000E-01,+0.00000000E+00,+1.53399337E-02,+1.99835339E-01,+2.00423242E-01,+1.49418370E+00,+6.62305157E-04,+2.14957070E-01,+2.14958090E-01,+1.56771523E+00
+1.90000000E-01,+0.00000000E+00,+1.54162218E-02,+1.99753677E-01,+2.00347676E-01,+1.49377285E+00,+6.83564062E-04,+2.14932095E-01,+2.14933182E-01,+1.56761597E+00
+2.00000000E-01,+0.00000000E+00,+1.54972553E-02,+1.99666935E-01,+2.00267446E-01,+1.49333609E+00,+7.06145349E-04,+2.14905566E-01,+2.14906726E-01,+1.56751050E+00
+2.10000000E-01,+0.00000000E+00,+1.55831407E-02,+1.99575000E-01,+2.00182454E-01,+1.49287280E+00,+7.30078664E-04,+2.14877449E-01,+2.14878689E-01,+1.56739869E+00
+2.20000000E-01,+0.00000000E+00,+1.56739919E-02,+1.99477749E-01,+2.00092594E-01,+1.49238230E+00,+7.55395806E-04,+2.14847706E-01,+2.14849034E-01,+1.56728038E+00
+2.30000000E-01,+0.00000000E+00,+1.57699312E-02,+1.99375052E-01,+1.99997755E-01,+1.49186385E+00,+7.82130836E-04,+2.14816298E-01,+2.14817722E-01,+1.56715541E+00
+2.40000000E-01,+0.00000000E+00,+1.58710894E-02,+1.99266768E-01,+1.99897815E-01,+1.49131666E+00,+8.10320199E-04,+2.14783181E-01,+2.14784709E-01,+1.56702361E+00
+2.50000000E-01,+0.00000000E+00,+1.59776064E-02,+1.99152749E-01,+1.99792646E-01,+1.49073990E+00,+8.40002855E-04,+2.14748309E-01,+2.14749952E-01,+1.56688478E+00
+2.60000000E-01,+0.00000000E+00,+1.60896314E-02,+1.99032834E-01,+1.99682110E-01,+1.49013265E+00,+8.71220421E-04,+2.14711635E-01,+2.14713402E-01,+1.56673872E+00
+2.70000000E-01,+0.00000000E+00,+1.62073239E-02,+1.98906852E-01,+1.99566062E-01,+1.48949396E+00,+9.04017332E-04,+2.14673105E-01,+2.14675009E-01,+1.56658522E+00
+2.80000000E-01,+0.00000000E+00,+1.63308541E-02,+1.98774621E-01,+1.99444345E-01,+1.48882279E+00,+9.38441005E-04,+2.14632664E-01,+2.14634716E-01,+1.56642404E+00
+2.90000000E-01,+0.00000000E+00,+1.64604035E-02,+1.98635948E-01,+1.99316795E-01,+1.48811804E+00,+9.74542029E-04,+2.14590253E-01,+2.14592466E-01,+1.56625495E+00
+3.00000000E-01,+0.00000000E+00,+1.65961657E-02,+1.98490624E-01,+1.99183234E-01,+1.48737852E+00,+1.01237436E-03,+2.14545808E-01,+2.14548196E-01,+1.56607768E+00
+3.10000000E-01,+0.00000000E+00,+1.67383473E-02,+1.98338430E-01,+1.99043475E-01,+1.48660297E+00,+1.05199556E-03,+2.14499261E-01,+2.14501841E-01,+1.56589194E+00
+3.20000000E-01,+0.00000000E+00,+1.68871685E-02,+1.98179128E-01,+1.98897318E-01,+1.48579003E+00,+1.09346701E-03,+2.14450541E-01,+2.14453329E-01,+1.56569745E+00
+3.30000000E-01,+0.00000000E+00,+1.70428643E-02,+1.98012468E-01,+1.98744551E-01,+1.48493827E+00,+1.13685418E-03,+2.14399570E-01,+2.14402584E-01,+1.56549387E+00
+3.40000000E-01,+0.00000000E+00,+1.72056855E-02,+1.97838181E-01,+1.98584948E-01,+1.48404612E+00,+1.18222694E-03,+2.14346267E-01,+2.14349527E-01,+1.56528088E+00
+3.50000000E-01,+0.00000000E+00,+1.73758995E-02,+1.97655981E-01,+1.98418267E-01,+1.48311193E+00,+1.22965984E-03,+2.14290543E-01,+2.14294072E-01,+1.56505811E+00
+3.60000000E-01,+0.00000000E+00,+1.75537919E-02,+1.97465563E-01,+1.98244253E-01,+1.48213393E+00,+1.27923247E-03,+2.14232307E-01,+2.14236126E-01,+1.56482516E+00
+3.70000000E-01,+0.00000000E+00,+1.77396679E-02,+1.97266599E-01,+1.98062634E-01,+1.48111019E+00,+1.33102984E-03,+2.14171456E-01,+2.14175592E-01,+1.56458162E+00
