s1,s2,Re(r_ibc0.11),Im(r_ibc0.11),Abs(r_ibc0.11),Arg(r_ibc0.11),Re(r_ibc0.21),Im(r_ibc0.21),Abs(r_ibc0.21),Arg(r_ibc0.21),Re(r_ibc0.12),Im(r_ibc0.12),Abs(r_ibc0.12),Arg(r_ibc0.12),Re(r_ibc0.22),Im(r_ibc0.22),Abs(r_ibc0.22),Arg(r_ibc0.22)
+1.60000000E-02,+0.00000000E+00,+1.55783565E-01,+9.87791213E-01,+1.00000000E+00,+1.41437567E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.56033375E-01,+9.87751784E-01,+1.00000000E+00,+1.41412277E+00
+1.70000000E-02,+0.00000000E+00,+1.55767461E-01,+9.87793753E-01,+1.00000000E+00,+1.41439198E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.56049477E-01,+9.87749240E-01,+1.00000000E+00,+1.41410647E+00
+1.80000000E-02,+0.00000000E+00,+1.55750381E-01,+9.87796446E-01,+1.00000000E+00,+1.41440927E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.56066556E-01,+9.87746541E-01,+1.00000000E+00,+1.41408918E+00
+1.90000000E-02,+0.00000000E+00,+1.55732323E-01,+9.87799293E-01,+1.00000000E+00,+1.41442755E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.56084612E-01,+9.87743688E-01,+1.00000000E+00,+1.41407090E+00
+2.00000000E-02,+0.00000000E+00,+1.55713289E-01,+9.87802294E-01,+1.00000000E+00,+1.41444682E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.56103644E-01,+9.87740681E-01,+1.00000000E+00,+1.41405163E+00
+2.10000000E-02,+0.00000000E+00,+1.55693277E-01,+9.87805448E-01,+1.00000000E+00,+1.41446708E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.56123653E-01,+9.87737518E-01,+1.00000000E+00,+1.41403137E+00
+2.20000000E-02,+0.00000000E+00,+1.55672289E-01,+9.87808756E-01,+1.00000000E+00,+1.41448832E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.56144638E-01,+9.87734201E-01,+1.00000000E+00,+1.41401013E+00
+2.30000000E-02,+0.00000000E+00,+1.55650323E-01,+9.87812217E-01,+1.00000000E+00,+1.41451056E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.56166601E-01,+9.87730729E-01,+1.00000000E+00,+1.41398789E+00
+2.40000000E-02,+0.00000000E+00,+1.55627379E-01,+9.87815832E-01,+1.00000000E+00,+1.41453379E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.56189540E-01,+9.87727102E-01,+1.00000000E+00,+1.41396467E+00
+2.50000000E-02,+0.00000000E+00,+1.55603458E-01,+9.87819601E-01,+1.00000000E+00,+1.41455800E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.56213457E-01,+9.87723320E-01,+1.00000000E+00,+1.41394045E+00
+2.60000000E-02,+0.00000000E+00,+1.55578559E-01,+9.87823523E-01,+1.00000000E+00,+1.41458321E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.56238351E-01,+9.87719382E-01,+1.00000000E+00,+1.41391525E+00
+2.70000000E-02,+0.00000000E+00,+1.55552683E-01,+9.87827598E-01,+1.00000000E+00,+1.41460941E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.56264222E-01,+9.87715289E-01,+1.00000000E+00,+1.41388906E+00
+2.80000000E-02,+0.00000000E+00,+1.55525828E-01,+9.87831826E-01,+1.00000000E+00,+1.41463659E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.56291070E-01,+9.87711041E-01,+1.00000000E+00,+1.41386187E+00
+2.90000000E-02,+0.00000000E+00,+1.55497994E-01,+9.87836208E-01,+1.00000000E+00,+1.41466477E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.56318897E-01,+9.87706638E-01,+1.00000000E+00,+1.41383370E+00
