s1,s2,Re(r_ibc3.tm),Im(r_ibc3.tm),Abs(r_ibc3.tm),Arg(r_ibc3.tm),Re(r_ibc3.te),Im(r_ibc3.te),Abs(r_ibc3.te),Arg(r_ibc3.te)
+3.00000000E-02,+0.00000000E+00,+2.23059885E-01,+9.74804743E-01,+1.00000000E+00,+1.34584401E+00,+2.23990015E-01,+9.74591439E-01,+1.00000000E+00,+1.34488973E+00
+3.10000000E-02,+0.00000000E+00,+2.23025816E-01,+9.74812539E-01,+1.00000000E+00,+1.34587895E+00,+2.24019020E-01,+9.74584772E-01,+1.00000000E+00,+1.34485997E+00
+3.20000000E-02,+0.00000000E+00,+2.22990628E-01,+9.74820589E-01,+1.00000000E+00,+1.34591505E+00,+2.24048978E-01,+9.74577886E-01,+1.00000000E+00,+1.34482923E+00
+3.30000000E-02,+0.00000000E+00,+2.22954319E-01,+9.74828893E-01,+1.00000000E+00,+1.34595230E+00,+2.24079889E-01,+9.74570779E-01,+1.00000000E+00,+1.34479751E+00
+3.40000000E-02,+0.00000000E+00,+2.22916890E-01,+9.74837453E-01,+1.00000000E+00,+1.34599069E+00,+2.24111752E-01,+9.74563452E-01,+1.00000000E+00,+1.34476482E+00
+3.50000000E-02,+0.00000000E+00,+2.22878340E-01,+9.74846268E-01,+1.00000000E+00,+1.34603024E+00,+2.24144568E-01,+9.74555905E-01,+1.00000000E+00,+1.34473115E+00
+3.60000000E-02,+0.00000000E+00,+2.22838670E-01,+9.74855337E-01,+1.00000000E+00,+1.34607093E+00,+2.24178337E-01,+9.74548138E-01,+1.00000000E+00,+1.34469649E+00
+3.70000000E-02,+0.00000000E+00,+2.22797878E-01,+9.74864660E-01,+1.00000000E+00,+1.34611278E+00,+2.24213059E-01,+9.74540150E-01,+1.00000000E+00,+1.34466087E+00
+3.80000000E-02,+0.00000000E+00,+2.22755964E-01,+9.74874238E-01,+1.00000000E+00,+1.34615577E+00,+2.24248735E-01,+9.74531941E-01,+1.00000000E+00,+1.34462426E+00
+3.90000000E-02,+0.00000000E+00,+2.22712929E-01,+9.74884071E-01,+1.00000000E+00,+1.34619992E+00,+2.24285364E-01,+9.74523512E-01,+1.00000000E+00,+1.34458667E+00
+4.00000000E-02,+0.00000000E+00,+2.22668771E-01,+9.74894158E-01,+1.00000000E+00,+1.34624521E+00,+2.24322946E-01,+9.74514862E-01,+1.00000000E+00,+1.34454811E+00
+4.10000000E-02,+0.00000000E+00,+2.22623490E-01,+9.74904499E-01,+1.00000000E+00,+1.34629166E+00,+2.24361483E-01,+9.74505990E-01,+1.00000000E+00,+1.34450856E+00
+4.20000000E-02,+0.00000000E+00,+2.22577087E-01,+9.74915094E-01,+1.00000000E+00,+1.34633925E+00,+2.24400974E-01,+9.74496897E-01,+1.00000000E+00,+1.34446804E+00
+4.30000000E-02,+0.00000000E+00,+2.22529560E-01,+9.74925943E-01,+1.00000000E+00,+1.34638800E+00,+2.24441419E-01,+9.74487583E-01,+1.00000000E+00,+1.34442653E+00
+4.40000000E-02,+0.00000000E+00,+2.22480910E-01,+9.74937047E-01,+1.00000000E+00,+1.34643790E+00,+2.24482818E-01,+9.74478047E-01,+1.00000000E+00,+1.34438405E+00
+4.50000000E-02,+0.00000000E+00,+2.22431136E-01,+9.74948404E-01,+1.00000000E+00,+1.34648896E+00,+2.24525172E-01,+9.74468290E-01,+1.00000000E+00,+1.34434059E+00
+4.60000000E-02,+0.00000000E+00,+2.22380237E-01,+9.74960015E-01,+1.00000000E+00,+1.34654116E+00,+2.24568480E-01,+9.74458310E-01,+1.00000000E+00,+1.34429614E+00
+4.70000000E-02,+0.00000000E+00,+2.22328213E-01,+9.74971879E-01,+1.00000000E+00,+1.34659452E+00,+2.24612744E-01,+9.74448108E-01,+1.00000000E+00,+1.34425072E+00
+4.80000000E-02,+0.00000000E+00,+2.22275064E-01,+9.74983998E-01,+1.00000000E+00,+1.34664904E+00,+2.24657963E-01,+9.74437684E-01,+1.00000000E+00,+1.34420431E+00
+4.90000000E-02,+0.00000000E+00,+2.22220789E-01,+9.74996370E-01,+1.00000000E+00,+1.34670470E+00,+2.24704137E-01,+9.74427037E-01,+1.00000000E+00,+1.34415693E+00
+5.00000000E-02,+0.00000000E+00,+2.22165388E-01,+9.75008995E-01,+1.00000000E+00,+1.34676153E+00,+2.24751267E-01,+9.74416168E-01,+1.00000000E+00,+1.34410856E+00
+5.10000000E-02,+0.00000000E+00,+2.22108861E-01,+9.75021873E-01,+1.00000000E+00,+1.34681950E+00,+2.24799353E-01,+9.74405075E-01,+1.00000000E+00,+1.34405921E+00
+5.20000000E-02,+0.00000000E+00,+2.22051207E-01,+9.75035005E-01,+1.00000000E+00,+1.34687863E+00,+2.24848395E-01,+9.74393760E-01,+1.00000000E+00,+1.34400888E+00
+5.30000000E-02,+0.00000000E+00,+2.21992425E-01,+9.75048390E-01,+1.00000000E+00,+1.34693892E+00,+2.24898393E-01,+9.74382221E-01,+1.00000000E+00,+1.34395757E+00
+5.40000000E-02,+0.00000000E+00,+2.21932516E-01,+9.75062028E-01,+1.00000000E+00,+1.34700036E+00,+2.24949348E-01,+9.74370459E-01,+1.00000000E+00,+1.34390528E+00
+5.50000000E-02,+0.00000000E+00,+2.21871478E-01,+9.75075919E-01,+1.00000000E+00,+1.34706296E+00,+2.25001259E-01,+9.74358473E-01,+1.00000000E+00,+1.34385200E+00
+5.60000000E-02,+0.00000000E+00,+2.21809311E-01,+9.75090062E-01,+1.00000000E+00,+1.34712671E+00,+2.25054128E-01,+9.74346263E-01,+1.00000000E+00,+1.34379774E+00
+5.70000000E-02,+0.00000000E+00,+2.21746015E-01,+9.75104458E-01,+1.00000000E+00,+1.34719163E+00,+2.25107954E-01,+9.74333828E-01,+1.00000000E+00,+1.34374249E+00
+5.80000000E-02,+0.00000000E+00,+2.21681589E-01,+9.75119107E-01,+1.00000000E+00,+1.34725770E+00,+2.25162737E-01,+9.74321170E-01,+1.00000000E+00,+1.34368627E+00
+5.90000000E-02,+0.00000000E+00,+2.21616033E-01,+9.75134008E-01,+1.00000000E+00,+1.34732493E+00,+2.25218478E-01,+9.74308286E-01,+1.00000000E+00,+1.34362906E+00
+6.00000000E-02,+0.00000000E+00,+2.21549346E-01,+9.75149161E-01,+1.00000000E+00,+1.34739331E+00,+2.25275177E-01,+9.74295178E-01,+1.00000000E+00,+1.34357086E+00
+6.10000000E-02,+0.00000000E+00,+2.21481528E-01,+9.75164567E-01,+1.00000000E+00,+1.34746286E+00,+2.25332835E-01,+9.74281845E-01,+1.00000000E+00,+1.34351168E+00
+6.20000000E-02,+0.00000000E+00,+2.21412578E-01,+9.75180225E-01,+1.00000000E+00,+1.34753356E+00,+2.25391451E-01,+9.74268286E-01,+1.00000000E+00,+1.34345152E+00
+6.30000000E-02,+0.00000000E+00,+2.21342495E-01,+9.75196134E-01,+1.00000000E+00,+1.34760543E+00,+2.25451026E-01,+9.74254502E-01,+1.00000000E+00,+1.34339037E+00
+6.40000000E-02,+0.00000000E+00,+2.21271280E-01,+9.75212295E-01,+1.00000000E+00,+1.34767846E+00,+2.25511560E-01,+9.74240492E-01,+1.00000000E+00,+1.34332824E+00
+6.50000000E-02,+0.00000000E+00,+2.21198931E-01,+9.75228708E-01,+1.00000000E+00,+1.34775264E+00,+2.25573053E-01,+9.74226256E-01,+1.00000000E+00,+1.34326512E+00
+6.60000000E-02,+0.00000000E+00,+2.21125448E-01,+9.75245372E-01,+1.00000000E+00,+1.34782799E+00,+2.25635506E-01,+9.74211793E-01,+1.00000000E+00,+1.34320101E+00
+6.70000000E-02,+0.00000000E+00,+2.21050830E-01,+9.75262288E-01,+1.00000000E+00,+1.34790450E+00,+2.25698920E-01,+9.74197104E-01,+1.00000000E+00,+1.34313592E+00
+6.80000000E-02,+0.00000000E+00,+2.20975078E-01,+9.75279455E-01,+1.00000000E+00,+1.34798218E+00,+2.25763293E-01,+9.74182188E-01,+1.00000000E+00,+1.34306984E+00
+6.90000000E-02,+0.00000000E+00,+2.20898189E-01,+9.75296873E-01,+1.00000000E+00,+1.34806101E+00,+2.25828627E-01,+9.74167045E-01,+1.00000000E+00,+1.34300277E+00
+7.00000000E-02,+0.00000000E+00,+2.20820164E-01,+9.75314542E-01,+1.00000000E+00,+1.34814101E+00,+2.25894922E-01,+9.74151674E-01,+1.00000000E+00,+1.34293472E+00
+7.10000000E-02,+0.00000000E+00,+2.20741002E-01,+9.75332461E-01,+1.00000000E+00,+1.34822218E+00,+2.25962178E-01,+9.74136076E-01,+1.00000000E+00,+1.34286568E+00
+7.20000000E-02,+0.00000000E+00,+2.20660702E-01,+9.75350632E-01,+1.00000000E+00,+1.34830451E+00,+2.26030396E-01,+9.74120249E-01,+1.00000000E+00,+1.34279565E+00
+7.30000000E-02,+0.00000000E+00,+2.20579264E-01,+9.75369052E-01,+1.00000000E+00,+1.34838800E+00,+2.26099575E-01,+9.74104195E-01,+1.00000000E+00,+1.34272463E+00
+7.40000000E-02,+0.00000000E+00,+2.20496687E-01,+9.75387723E-01,+1.00000000E+00,+1.34847267E+00,+2.26169717E-01,+9.74087911E-01,+1.00000000E+00,+1.34265262E+00
+7.50000000E-02,+0.00000000E+00,+2.20412970E-01,+9.75406645E-01,+1.00000000E+00,+1.34855849E+00,+2.26240821E-01,+9.74071399E-01,+1.00000000E+00,+1.34257963E+00
+7.60000000E-02,+0.00000000E+00,+2.20328114E-01,+9.75425816E-01,+1.00000000E+00,+1.34864549E+00,+2.26312888E-01,+9.74054658E-01,+1.00000000E+00,+1.34250564E+00
+7.70000000E-02,+0.00000000E+00,+2.20242116E-01,+9.75445237E-01,+1.00000000E+00,+1.34873365E+00,+2.26385918E-01,+9.74037687E-01,+1.00000000E+00,+1.34243067E+00
+7.80000000E-02,+0.00000000E+00,+2.20154977E-01,+9.75464908E-01,+1.00000000E+00,+1.34882298E+00,+2.26459912E-01,+9.74020487E-01,+1.00000000E+00,+1.34235470E+00
+7.90000000E-02,+0.00000000E+00,+2.20066695E-01,+9.75484828E-01,+1.00000000E+00,+1.34891349E+00,+2.26534869E-01,+9.74003056E-01,+1.00000000E+00,+1.34227774E+00
+8.00000000E-02,+0.00000000E+00,+2.19977271E-01,+9.75504998E-01,+1.00000000E+00,+1.34900516E+00,+2.26610791E-01,+9.73985395E-01,+1.00000000E+00,+1.34219979E+00
+8.10000000E-02,+0.00000000E+00,+2.19886703E-01,+9.75525416E-01,+1.00000000E+00,+1.34909800E+00,+2.26687677E-01,+9.73967503E-01,+1.00000000E+00,+1.34212085E+00
+8.20000000E-02,+0.00000000E+00,+2.19794991E-01,+9.75546084E-01,+1.00000000E+00,+1.34919201E+00,+2.26765528E-01,+9.73949380E-01,+1.00000000E+00,+1.34204092E+00
+8.30000000E-02,+0.00000000E+00,+2.19702133E-01,+9.75567001E-01,+1.00000000E+00,+1.34928719E+00,+2.26844345E-01,+9.73931026E-01,+1.00000000E+00,+1.34196000E+00
+8.40000000E-02,+0.00000000E+00,+2.19608130E-01,+9.75588166E-01,+1.00000000E+00,+1.34938355E+00,+2.26924127E-01,+9.73912440E-01,+1.00000000E+00,+1.34187808E+00
+8.50000000E-02,+0.00000000E+00,+2.19512981E-01,+9.75609579E-01,+1.00000000E+00,+1.34948108E+00,+2.27004875E-01,+9.73893622E-01,+1.00000000E+00,+1.34179516E+00
+8.60000000E-02,+0.00000000E+00,+2.19416684E-01,+9.75631241E-01,+1.00000000E+00,+1.34957978E+00,+2.27086589E-01,+9.73874571E-01,+1.00000000E+00,+1.34171126E+00
+8.70000000E-02,+0.00000000E+00,+2.19319239E-01,+9.75653151E-01,+1.00000000E+00,+1.34967966E+00,+2.27169271E-01,+9.73855288E-01,+1.00000000E+00,+1.34162636E+00
