s1,s2,Re(z_ex.tm),Im(z_ex.tm),Abs(z_ex.tm),Arg(z_ex.tm),Re(z_ex.te),Im(z_ex.te),Abs(z_ex.te),Arg(z_ex.te)
+1.83600000E+00,+0.00000000E+00,+0.00000000E+00,+3.67164298E-02,+3.67164298E-02,+1.57079633E+00,+0.00000000E+00,+2.33452210E-01,+2.33452210E-01,+1.57079633E+00
+1.83700000E+00,+0.00000000E+00,+0.00000000E+00,+3.46250177E-02,+3.46250177E-02,+1.57079633E+00,+0.00000000E+00,+2.21447403E-01,+2.21447403E-01,+1.57079633E+00
+1.83800000E+00,+0.00000000E+00,+0.00000000E+00,+3.25447656E-02,+3.25447656E-02,+1.57079633E+00,+0.00000000E+00,+2.09373231E-01,+2.09373231E-01,+1.57079633E+00
+1.83900000E+00,+0.00000000E+00,+0.00000000E+00,+3.04753327E-02,+3.04753327E-02,+1.57079633E+00,+0.00000000E+00,+1.97226132E-01,+1.97226132E-01,+1.57079633E+00
+1.84000000E+00,+0.00000000E+00,+0.00000000E+00,+2.84163800E-02,+2.84163800E-02,+1.57079633E+00,+0.00000000E+00,+1.85002474E-01,+1.85002474E-01,+1.57079633E+00
+1.84100000E+00,+0.00000000E+00,+0.00000000E+00,+2.63675705E-02,+2.63675705E-02,+1.57079633E+00,+0.00000000E+00,+1.72698544E-01,+1.72698544E-01,+1.57079633E+00
+1.84200000E+00,+0.00000000E+00,+0.00000000E+00,+2.43285687E-02,+2.43285687E-02,+1.57079633E+00,+0.00000000E+00,+1.60310549E-01,+1.60310549E-01,+1.57079633E+00
+1.84300000E+00,+0.00000000E+00,+0.00000000E+00,+2.22990402E-02,+2.22990402E-02,+1.57079633E+00,+0.00000000E+00,+1.47834612E-01,+1.47834612E-01,+1.57079633E+00
+1.84400000E+00,+0.00000000E+00,+0.00000000E+00,+2.02786519E-02,+2.02786519E-02,+1.57079633E+00,+0.00000000E+00,+1.35266762E-01,+1.35266762E-01,+1.57079633E+00
+1.84500000E+00,+0.00000000E+00,+0.00000000E+00,+1.82670709E-02,+1.82670709E-02,+1.57079633E+00,+0.00000000E+00,+1.22602934E-01,+1.22602934E-01,+1.57079633E+00
