s1,s2,Re(z_ibc7.11),Im(z_ibc7.11),Abs(z_ibc7.11),Arg(z_ibc7.11),Re(z_ibc7.21),Im(z_ibc7.21),Abs(z_ibc7.21),Arg(z_ibc7.21),Re(z_ibc7.12),Im(z_ibc7.12),Abs(z_ibc7.12),Arg(z_ibc7.12),Re(z_ibc7.22),Im(z_ibc7.22),Abs(z_ibc7.22),Arg(z_ibc7.22)
+1.60000000E-02,+0.00000000E+00,-1.23734183E-17,-8.81217982E-01,+8.81217982E-01,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.23767572E-17,-8.81317574E-01,+8.81317574E-01,-1.57079633E+00
+1.70000000E-02,+0.00000000E+00,-1.23714707E-17,-8.81273137E-01,+8.81273137E-01,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.23752406E-17,-8.81385574E-01,+8.81385574E-01,-1.57079633E+00
+1.80000000E-02,+0.00000000E+00,-1.23694046E-17,-8.81331643E-01,+8.81331643E-01,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.23736317E-17,-8.81457704E-01,+8.81457704E-01,-1.57079633E+00
+1.90000000E-02,+0.00000000E+00,-1.23672200E-17,-8.81393501E-01,+8.81393501E-01,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.23719305E-17,-8.81533967E-01,+8.81533967E-01,-1.57079633E+00
+2.00000000E-02,+0.00000000E+00,-1.23649168E-17,-8.81458712E-01,+8.81458712E-01,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.23701370E-17,-8.81614364E-01,+8.81614364E-01,-1.57079633E+00
+2.10000000E-02,+0.00000000E+00,-1.23624948E-17,-8.81527279E-01,+8.81527279E-01,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.23682511E-17,-8.81698897E-01,+8.81698897E-01,-1.57079633E+00
+2.20000000E-02,+0.00000000E+00,-1.23599541E-17,-8.81599202E-01,+8.81599202E-01,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.23662727E-17,-8.81787569E-01,+8.81787569E-01,-1.57079633E+00
+2.30000000E-02,+0.00000000E+00,-1.23572945E-17,-8.81674484E-01,+8.81674484E-01,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.23642018E-17,-8.81880380E-01,+8.81880380E-01,-1.57079633E+00
+2.40000000E-02,+0.00000000E+00,-1.23545159E-17,-8.81753127E-01,+8.81753127E-01,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.23620383E-17,-8.81977335E-01,+8.81977335E-01,-1.57079633E+00
+2.50000000E-02,+0.00000000E+00,-1.23516182E-17,-8.81835132E-01,+8.81835132E-01,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.23597822E-17,-8.82078434E-01,+8.82078434E-01,-1.57079633E+00
+2.60000000E-02,+0.00000000E+00,-1.23486013E-17,-8.81920501E-01,+8.81920501E-01,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.23574333E-17,-8.82183680E-01,+8.82183680E-01,-1.57079633E+00
+2.70000000E-02,+0.00000000E+00,-1.23454651E-17,-8.82009237E-01,+8.82009237E-01,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.23549916E-17,-8.82293076E-01,+8.82293076E-01,-1.57079633E+00
+2.80000000E-02,+0.00000000E+00,-1.23422094E-17,-8.82101341E-01,+8.82101341E-01,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.23524570E-17,-8.82406624E-01,+8.82406624E-01,-1.57079633E+00
+2.90000000E-02,+0.00000000E+00,-1.23388342E-17,-8.82196816E-01,+8.82196816E-01,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.23498294E-17,-8.82524327E-01,+8.82524327E-01,-1.57079633E+00
+3.00000000E-02,+0.00000000E+00,-1.23353394E-17,-8.82295664E-01,+8.82295664E-01,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.23471087E-17,-8.82646187E-01,+8.82646187E-01,-1.57079633E+00
+3.10000000E-02,+0.00000000E+00,-1.23317247E-17,-8.82397887E-01,+8.82397887E-01,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.23442949E-17,-8.82772209E-01,+8.82772209E-01,-1.57079633E+00
+3.20000000E-02,+0.00000000E+00,-1.23279902E-17,-8.82503489E-01,+8.82503489E-01,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.23413878E-17,-8.82902393E-01,+8.82902393E-01,-1.57079633E+00
+3.30000000E-02,+0.00000000E+00,-1.23241355E-17,-8.82612471E-01,+8.82612471E-01,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.23383873E-17,-8.83036745E-01,+8.83036745E-01,-1.57079633E+00
